COMPLEX_CATEGORY,COMPLEX_NAME,FACILITY_TYPE,FACILITY_NAME,ADDRESS,TYP_OF_ORG,ORG,STEWARD,OPER,COMMUNITY,SECTOR,POPULATION,OCCUPIED_DWELLINGS,PERSONS_PER_UNIT,Area (km²),Population Density (people/km²)
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,651",778,2.12,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"2,132",705,3.02,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,727",789,2.19,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,603",812,1.97,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,654",762,2.17,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,923",697,2.76,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,697",787,2.16,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,829",804,2.27,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,560",687,2.27,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,975",698,2.83,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,729",802,2.16,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,662",821,2.02,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,616",815,1.98,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,640",771,2.13,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,776",715,2.48,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,603",719,2.23,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,592",797,2.0,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,657",811,2.04,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,639",759,2.16,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,794",790,2.27,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,629",808,2.02,1.4,"2,700"
