COMPLEX_NAME,FACILITY_TYPE,ADDRESS,TYP_OF_ORG,ORG,STEWARD,OPER,COMMUNITY,SECTOR,POPULATION,OCCUPIED_DWELLINGS,PERSONS_PER_UNIT,Area (km²),Population Density (people/km²)
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,9088.0,2951.0,3.08,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,7870.0,2192.0,3.59,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,7984.0,2777.0,2.88,2.1,3565.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1530.0,719.0,2.13,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1726.0,799.0,2.16,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,2067.0,700.0,2.95,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1655.0,752.0,2.2,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1786.0,706.0,2.53,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1863.0,708.0,2.63,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1849.0,740.0,2.5,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1666.0,781.0,2.13,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1642.0,775.0,2.12,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1827.0,774.0,2.36,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1728.0,805.0,2.15,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1693.0,719.0,2.35,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1819.0,802.0,2.27,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1459.0,683.0,2.14,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1553.0,722.0,2.15,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1595.0,789.0,2.02,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1603.0,785.0,2.04,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1831.0,805.0,2.27,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1681.0,784.0,2.14,1.4,2700.0
